Type of livestock,Region,Year,value
Sheep,    Ulaanbaatar,1986,30.5
Sheep,    Ulaanbaatar,1985,30.5
Sheep,    Ulaanbaatar,1984,28.0
Sheep,    Ulaanbaatar,1983,26.3
Sheep,    Ulaanbaatar,1982,18.3
Sheep,    Ulaanbaatar,1981,16.0
Sheep,    Ulaanbaatar,1980,14.7
Sheep,    Ulaanbaatar,1979,4.7
Sheep,    Ulaanbaatar,1978,14.9
Sheep,    Ulaanbaatar,1977,20.3
Sheep,    Ulaanbaatar,1976,20.7
Sheep,    Ulaanbaatar,1975,19.0
Sheep,    Ulaanbaatar,1974,15.5
Sheep,    Ulaanbaatar,1973,13.7
Sheep,    Ulaanbaatar,1972,11.4
Sheep,    Ulaanbaatar,1971,7.5
Sheep,    Ulaanbaatar,1970,4.2
Sheep,            Ulaanbaatar,2024,133.4
Sheep,            Ulaanbaatar,2023,155.6
Sheep,            Ulaanbaatar,2022,164.3
Sheep,            Ulaanbaatar,2021,169.0
Sheep,            Ulaanbaatar,2020,174.9
Sheep,            Ulaanbaatar,2019,176.7
Sheep,            Ulaanbaatar,2018,166.3
Sheep,            Ulaanbaatar,2017,170.2
Sheep,            Ulaanbaatar,2016,176.8
Sheep,            Ulaanbaatar,2015,162.3
Sheep,            Ulaanbaatar,2014,158.9
Sheep,            Ulaanbaatar,2013,134.6
Sheep,            Ulaanbaatar,2012,124.7
Sheep,            Ulaanbaatar,2011,105.8
Sheep,            Ulaanbaatar,2010,101.6
Sheep,            Ulaanbaatar,2009,167.9
Sheep,            Ulaanbaatar,2008,154.5
Sheep,            Ulaanbaatar,2007,128.7
Sheep,            Ulaanbaatar,2006,129.0
Sheep,            Ulaanbaatar,2005,94.2
Sheep,            Ulaanbaatar,2004,85.3
Sheep,            Ulaanbaatar,2003,96.8
Sheep,            Ulaanbaatar,2002,94.2
Sheep,            Ulaanbaatar,2001,94.8
Sheep,            Ulaanbaatar,2000,102.8
Sheep,            Ulaanbaatar,1999,109.7
Sheep,            Ulaanbaatar,1998,142.5
Sheep,            Ulaanbaatar,1997,145.1
Sheep,            Ulaanbaatar,1996,149.0
Sheep,            Ulaanbaatar,1995,145.2
Sheep,            Ulaanbaatar,1994,132.6
Sheep,            Ulaanbaatar,1993,144.8
Sheep,            Ulaanbaatar,1992,147.8
Sheep,            Ulaanbaatar,1991,104.1
Sheep,            Ulaanbaatar,1990,65.8
Sheep,            Ulaanbaatar,1989,50.9
Sheep,            Ulaanbaatar,1988,40.2
Sheep,            Ulaanbaatar,1987,36.7
Sheep,            Ulaanbaatar,1986,30.5
Sheep,            Ulaanbaatar,1985,30.5
Sheep,            Ulaanbaatar,1984,28.0
Sheep,            Ulaanbaatar,1983,26.3
Sheep,            Ulaanbaatar,1982,18.3
Sheep,            Ulaanbaatar,1981,16.0
Sheep,            Ulaanbaatar,1980,14.7
Sheep,            Ulaanbaatar,1979,4.7
Sheep,            Ulaanbaatar,1978,14.9
Sheep,            Ulaanbaatar,1977,20.3
Sheep,            Ulaanbaatar,1976,20.7
Sheep,            Ulaanbaatar,1975,19.0
Sheep,            Ulaanbaatar,1974,15.5
Sheep,            Ulaanbaatar,1973,13.7
Sheep,            Ulaanbaatar,1972,11.4
Sheep,            Ulaanbaatar,1971,7.5
Sheep,            Ulaanbaatar,1970,4.2
Goat,Total,2024,22920.2
Goat,Total,2023,24618.2
Goat,Total,2022,27569.4
Goat,Total,2021,26456.1
Goat,Total,2020,27720.3
Goat,Total,2019,29261.7
Goat,Total,2018,27124.7
Goat,Total,2017,27346.7
Goat,Total,2016,25574.9
Goat,Total,2015,23592.9
Goat,Total,2014,22008.9
Goat,Total,2013,19227.6
Goat,Total,2012,17558.7
Goat,Total,2011,15934.6
Goat,Total,2010,13883.2
Goat,Total,2009,19651.5
Goat,Total,2008,19969.4
Goat,Total,2007,18347.9
Goat,Total,2006,15451.7
Goat,Total,2005,13267.4
Goat,Total,2004,12238.0
Goat,Total,2003,10653.0
Goat,Total,2002,9134.8
Goat,Total,2001,9591.3
Goat,Total,2000,10269.8
Goat,Total,1999,11033.9
Goat,Total,1998,11061.9
Goat,Total,1997,10265.3
Goat,Total,1996,9134.9
Goat,Total,1995,8520.8
Goat,Total,1994,7234.6
Goat,Total,1993,6036.1
Goat,Total,1992,5602.5
Goat,Total,1991,5249.6
Goat,Total,1990,5125.8
Goat,Total,1989,4959.2
Goat,Total,1988,4474.3
Goat,Total,1987,4387.7
Goat,Total,1986,4384.4
Goat,Total,1985,4298.6
Goat,Total,1984,4298.0
Goat,Total,1983,4548.5
Goat,Total,1982,4801.8
Goat,Total,1981,4595.4
Goat,Total,1980,4566.8
Goat,Total,1979,4739.2
Goat,Total,1978,4704.7
Goat,Total,1977,4410.3
Goat,Total,1976,4547.1
Goat,Total,1975,4594.6
Goat,Total,1974,4574.4
Goat,Total,1973,4442.2
Goat,Total,1972,4338.4
Goat,Total,1971,4194.8
Goat,Total,1970,4207.0
Goat,    Khangai region,2024,5414.3
Goat,    Khangai region,2023,5381.3
Goat,    Khangai region,2022,5417.8
Goat,    Khangai region,2021,4775.8
Goat,    Khangai region,2020,5514.1
Goat,    Khangai region,2019,6786.7
Goat,    Khangai region,2018,6224.0
Goat,    Khangai region,2017,6556.4
Goat,    Khangai region,2016,6191.9
Goat,    Khangai region,2015,5553.3
Goat,    Khangai region,2014,5232.4
Goat,    Khangai region,2013,4566.6
Goat,    Khangai region,2012,3999.1
Goat,    Khangai region,2011,3487.5
Goat,    Khangai region,2010,2975.3
Goat,    Khangai region,2009,4497.5
Goat,    Khangai region,2008,4430.6
Goat,    Khangai region,2007,3850.8
Goat,    Khangai region,2006,3151.6
Goat,    Khangai region,2005,2663.4
Goat,    Khangai region,2004,2373.7
Goat,    Khangai region,2003,2022.4
Goat,    Khangai region,2002,1594.8
Goat,    Khangai region,2001,2015.5
Goat,    Khangai region,2000,2463.5
Goat,    Khangai region,1999,2680.9
Goat,    Khangai region,1998,2709.5
Goat,    Khangai region,1997,2487.0
Goat,    Khangai region,1996,2162.5
Goat,    Khangai region,1995,2076.3
Goat,    Khangai region,1994,1774.8
Goat,    Khangai region,1993,1465.2
Goat,    Khangai region,1992,1326.4
Goat,    Khangai region,1991,1226.1
Goat,    Khangai region,1990,1152.8
Goat,    Khangai region,1989,1079.4
Goat,    Khangai region,1988,933.0
Goat,    Khangai region,1987,938.3
Goat,    Khangai region,1986,928.3
Goat,    Khangai region,1985,887.0
Goat,    Khangai region,1984,933.4
Goat,    Khangai region,1983,1072.4
Goat,    Khangai region,1982,1150.2
Goat,    Khangai region,1981,1081.5
Goat,    Khangai region,1980,1064.0
Goat,    Khangai region,1979,1055.5
Goat,    Khangai region,1978,1076.0
Goat,    Khangai region,1977,1015.4
Goat,    Khangai region,1976,1016.6
Goat,    Khangai region,1975,1012.4
Goat,    Khangai region,1974,1009.3
Goat,    Khangai region,1973,983.6
Goat,    Khangai region,1972,977.5
Goat,    Khangai region,1971,913.0
Goat,    Khangai region,1970,915.2
Goat,            Arkhangai,2024,1165.0
Goat,            Arkhangai,2023,1264.5
Goat,            Arkhangai,2022,1526.9
Goat,            Arkhangai,2021,1487.0
Goat,            Arkhangai,2020,1489.3
Goat,            Arkhangai,2019,1708.4
Goat,            Arkhangai,2018,1499.3
Goat,            Arkhangai,2017,1435.4
Goat,            Arkhangai,2016,1402.3
Goat,            Arkhangai,2015,1270.6
Goat,            Arkhangai,2014,1256.0
Goat,            Arkhangai,2013,1131.8
Goat,            Arkhangai,2012,1045.7
Goat,            Arkhangai,2011,964.2
Goat,            Arkhangai,2010,852.8
Goat,            Arkhangai,2009,1195.1
Goat,            Arkhangai,2008,1175.0
Goat,            Arkhangai,2007,1017.6
Goat,            Arkhangai,2006,880.8
Goat,            Arkhangai,2005,755.1
Goat,            Arkhangai,2004,663.6
Goat,            Arkhangai,2003,606.7
Goat,            Arkhangai,2002,527.1
Goat,            Arkhangai,2001,509.9
Goat,            Arkhangai,2000,542.9
Goat,            Arkhangai,1999,551.2
Goat,            Arkhangai,1998,504.6
Goat,            Arkhangai,1997,433.9
Goat,            Arkhangai,1996,357.4
Goat,            Arkhangai,1995,307.9
Goat,            Arkhangai,1994,283.2
Goat,            Arkhangai,1993,235.0
Goat,            Arkhangai,1992,212.7
Goat,            Arkhangai,1991,197.3
Goat,            Arkhangai,1990,190.7
Goat,            Arkhangai,1989,174.7
Goat,            Arkhangai,1988,154.6
Goat,            Arkhangai,1987,141.6
Goat,            Arkhangai,1986,136.7
Goat,            Arkhangai,1985,136.3
Goat,            Arkhangai,1984,156.8
Goat,            Arkhangai,1983,164.1
Goat,            Arkhangai,1982,186.4
Goat,            Arkhangai,1981,176.1
Goat,            Arkhangai,1980,171.2
Goat,            Arkhangai,1979,165.1
Goat,            Arkhangai,1978,161.8
Goat,            Arkhangai,1977,148.3
Goat,            Arkhangai,1976,163.2
Goat,            Arkhangai,1975,171.1
Goat,            Arkhangai,1974,176.5
Goat,            Arkhangai,1973,172.8
Goat,            Arkhangai,1972,174.0
Goat,            Arkhangai,1971,169.2
Goat,            Arkhangai,1970,165.6
Goat,            Bayankhongor,2024,2391.0
Goat,            Bayankhongor,2023,2389.3
Goat,            Bayankhongor,2022,2182.7
Goat,            Bayankhongor,2021,1795.3
Goat,            Bayankhongor,2020,2219.2
Goat,            Bayankhongor,2019,2733.7
Goat,            Bayankhongor,2018,2478.9
Goat,            Bayankhongor,2017,2731.8
Goat,            Bayankhongor,2016,2569.1
Goat,            Bayankhongor,2015,2314.4
Goat,            Bayankhongor,2014,2138.1
Goat,            Bayankhongor,2013,1860.6
Goat,            Bayankhongor,2012,1596.3
Goat,            Bayankhongor,2011,1397.0
Goat,            Bayankhongor,2010,1213.3
Goat,            Bayankhongor,2009,1713.3
Goat,            Bayankhongor,2008,1696.9
Goat,            Bayankhongor,2007,1427.1
Goat,            Bayankhongor,2006,1136.4
Goat,            Bayankhongor,2005,916.1
Goat,            Bayankhongor,2004,764.2
Goat,            Bayankhongor,2003,599.3
Goat,            Bayankhongor,2002,412.1
Goat,            Bayankhongor,2001,802.7
Goat,            Bayankhongor,2000,1190.0
Goat,            Bayankhongor,1999,1199.3
Goat,            Bayankhongor,1998,1252.3
Goat,            Bayankhongor,1997,1191.4
Goat,            Bayankhongor,1996,1053.6
Goat,            Bayankhongor,1995,1031.9
Goat,            Bayankhongor,1994,879.0
Goat,            Bayankhongor,1993,712.9
Goat,            Bayankhongor,1992,658.6
Goat,            Bayankhongor,1991,600.3
Goat,            Bayankhongor,1990,548.6
Goat,            Bayankhongor,1989,507.3
Goat,            Bayankhongor,1988,433.7
Goat,            Bayankhongor,1987,466.1
Goat,            Bayankhongor,1986,460.3
Goat,            Bayankhongor,1985,452.6
Goat,            Bayankhongor,1984,458.9
Goat,            Bayankhongor,1983,579.7
Goat,            Bayankhongor,1982,599.5
Goat,            Bayankhongor,1981,570.1
Goat,            Bayankhongor,1980,553.4
Goat,            Bayankhongor,1979,530.7
Goat,            Bayankhongor,1978,550.4
Goat,            Bayankhongor,1977,532.2
Goat,            Bayankhongor,1976,515.6
Goat,            Bayankhongor,1975,510.9
Goat,            Bayankhongor,1974,510.9
Goat,            Bayankhongor,1973,503.4
Goat,            Bayankhongor,1972,503.8
Goat,            Bayankhongor,1971,463.6
Goat,            Bayankhongor,1970,464.6
Goat,            Uvurkhangai,2024,1858.4
Goat,            Uvurkhangai,2023,1727.5
Goat,            Uvurkhangai,2022,1708.2
Goat,            Uvurkhangai,2021,1493.5
Goat,            Uvurkhangai,2020,1805.6
Goat,            Uvurkhangai,2019,2344.6
Goat,            Uvurkhangai,2018,2245.8
Goat,            Uvurkhangai,2017,2389.2
Goat,            Uvurkhangai,2016,2220.5
Goat,            Uvurkhangai,2015,1968.3
Goat,            Uvurkhangai,2014,1838.3
Goat,            Uvurkhangai,2013,1574.2
Goat,            Uvurkhangai,2012,1357.2
Goat,            Uvurkhangai,2011,1126.4
Goat,            Uvurkhangai,2010,909.2
Goat,            Uvurkhangai,2009,1589.1
Goat,            Uvurkhangai,2008,1558.7
Goat,            Uvurkhangai,2007,1406.1
Goat,            Uvurkhangai,2006,1134.4
Goat,            Uvurkhangai,2005,992.2
Goat,            Uvurkhangai,2004,946.0
Goat,            Uvurkhangai,2003,816.4
Goat,            Uvurkhangai,2002,655.7
Goat,            Uvurkhangai,2001,703.0
Goat,            Uvurkhangai,2000,730.7
Goat,            Uvurkhangai,1999,930.4
Goat,            Uvurkhangai,1998,952.6
Goat,            Uvurkhangai,1997,861.7
Goat,            Uvurkhangai,1996,751.5
Goat,            Uvurkhangai,1995,736.5
Goat,            Uvurkhangai,1994,612.6
Goat,            Uvurkhangai,1993,517.4
Goat,            Uvurkhangai,1992,455.2
Goat,            Uvurkhangai,1991,428.5
Goat,            Uvurkhangai,1990,413.5
Goat,            Uvurkhangai,1989,397.5
Goat,            Uvurkhangai,1988,344.7
Goat,            Uvurkhangai,1987,330.6
Goat,            Uvurkhangai,1986,331.2
Goat,            Uvurkhangai,1985,298.1
Goat,            Uvurkhangai,1984,317.6
Goat,            Uvurkhangai,1983,328.6
Goat,            Uvurkhangai,1982,364.2
Goat,            Uvurkhangai,1981,335.4
Goat,            Uvurkhangai,1980,339.4
Goat,            Uvurkhangai,1979,359.8
Goat,            Uvurkhangai,1978,363.8
Goat,            Uvurkhangai,1977,334.9
Goat,            Uvurkhangai,1976,337.9
Goat,            Uvurkhangai,1975,330.5
Goat,            Uvurkhangai,1974,321.9
Goat,            Uvurkhangai,1973,307.4
Goat,            Uvurkhangai,1972,299.6
Goat,            Uvurkhangai,1971,280.2
Goat,            Uvurkhangai,1970,285.0
Goat,    Western region,2024,6901.7
Goat,    Western region,2023,6641.2
Goat,    Western region,2022,7440.5
Goat,    Western region,2021,7715.2
Goat,    Western region,2020,7716.3
Goat,    Western region,2019,7575.7
Goat,    Western region,2018,7319.9
Goat,    Western region,2017,7702.4
Goat,    Western region,2016,7272.7
Goat,    Western region,2015,6654.3
Goat,    Western region,2014,6064.6
Goat,    Western region,2013,5293.5
Goat,    Western region,2012,4768.7
Goat,    Western region,2011,4341.0
Goat,    Western region,2010,3643.9
Goat,    Western region,2009,5340.5
Goat,    Western region,2008,6145.4
Goat,    Western region,2007,6190.8
Goat,    Western region,2006,5421.4
Goat,    Western region,2005,4525.8
Goat,    Western region,2004,4222.9
Goat,    Western region,2003,3574.2
Goat,    Western region,2002,2881.9
Goat,    Western region,2001,3215.9
Goat,    Western region,2000,3426.2
Goat,    Western region,1999,3644.9
Goat,    Western region,1998,3665.8
Goat,    Western region,1997,3619.5
Goat,    Western region,1996,3386.5
Goat,    Western region,1995,3264.4
Goat,    Western region,1994,2782.0
Goat,    Western region,1993,2288.8
Goat,    Western region,1992,2060.5
Goat,    Western region,1991,1951.3
Goat,    Western region,1990,1977.9
Goat,    Western region,1989,1922.2
Goat,    Western region,1988,1821.7
Goat,    Western region,1987,1788.4
Goat,    Western region,1986,1750.0
Goat,    Western region,1985,1708.2
Goat,    Western region,1984,1577.7
Goat,    Western region,1983,1689.0
Goat,    Western region,1982,1754.0
Goat,    Western region,1981,1704.3
Goat,    Western region,1980,1746.8
Goat,    Western region,1979,1768.2
Goat,    Western region,1978,1746.5
Goat,    Western region,1977,1670.6
Goat,    Western region,1976,1757.7
Goat,    Western region,1975,1761.8
Goat,    Western region,1974,1783.9
Goat,    Western region,1973,1812.6
Goat,    Western region,1972,1724.6
Goat,    Western region,1971,1735.5
Goat,    Western region,1970,1676.5
Goat,            Bayan-Ulgii,2024,903.7
Goat,            Bayan-Ulgii,2023,871.8
Goat,            Bayan-Ulgii,2022,967.4
Goat,            Bayan-Ulgii,2021,1063.8
Goat,            Bayan-Ulgii,2020,1022.6
Goat,            Bayan-Ulgii,2019,933.3
Goat,            Bayan-Ulgii,2018,930.4
Goat,            Bayan-Ulgii,2017,971.2
Goat,            Bayan-Ulgii,2016,983.3
Goat,            Bayan-Ulgii,2015,943.7
Goat,            Bayan-Ulgii,2014,882.1
Goat,            Bayan-Ulgii,2013,773.4
Goat,            Bayan-Ulgii,2012,693.1
Goat,            Bayan-Ulgii,2011,662.5
Goat,            Bayan-Ulgii,2010,553.8
Goat,            Bayan-Ulgii,2009,651.6
Goat,            Bayan-Ulgii,2008,778.7
Goat,            Bayan-Ulgii,2007,791.6
Goat,            Bayan-Ulgii,2006,712.4
Goat,            Bayan-Ulgii,2005,620.6
Goat,            Bayan-Ulgii,2004,640.8
Goat,            Bayan-Ulgii,2003,614.3
Goat,            Bayan-Ulgii,2002,542.8
Goat,            Bayan-Ulgii,2001,546.9
Goat,            Bayan-Ulgii,2000,521.3
Goat,            Bayan-Ulgii,1999,516.3
Goat,            Bayan-Ulgii,1998,492.2
Goat,            Bayan-Ulgii,1997,543.6
Goat,            Bayan-Ulgii,1996,483.3
Goat,            Bayan-Ulgii,1995,451.4
Goat,            Bayan-Ulgii,1994,366.4
Goat,            Bayan-Ulgii,1993,294.6
Goat,            Bayan-Ulgii,1992,268.5
Goat,            Bayan-Ulgii,1991,277.1
Goat,            Bayan-Ulgii,1990,309.9
Goat,            Bayan-Ulgii,1989,308.3
Goat,            Bayan-Ulgii,1988,292.7
Goat,            Bayan-Ulgii,1987,305.0
Goat,            Bayan-Ulgii,1986,308.4
Goat,            Bayan-Ulgii,1985,304.7
Goat,            Bayan-Ulgii,1984,296.5
Goat,            Bayan-Ulgii,1983,296.6
Goat,            Bayan-Ulgii,1982,302.5
Goat,            Bayan-Ulgii,1981,291.9
Goat,            Bayan-Ulgii,1980,296.3
Goat,            Bayan-Ulgii,1979,297.8
Goat,            Bayan-Ulgii,1978,285.1
Goat,            Bayan-Ulgii,1977,286.3
Goat,            Bayan-Ulgii,1976,308.8
Goat,            Bayan-Ulgii,1975,298.5
Goat,            Bayan-Ulgii,1974,308.3
Goat,            Bayan-Ulgii,1973,317.6
Goat,            Bayan-Ulgii,1972,290.0
Goat,            Bayan-Ulgii,1971,290.8
Goat,            Bayan-Ulgii,1970,279.5
Goat,            Govi-Altai,2024,1919.1
Goat,            Govi-Altai,2023,1884.3
Goat,            Govi-Altai,2022,1987.3
Goat,            Govi-Altai,2021,1875.8
Goat,            Govi-Altai,2020,2123.2
Goat,            Govi-Altai,2019,2269.6
Goat,            Govi-Altai,2018,2196.8
Goat,            Govi-Altai,2017,2356.0
Goat,            Govi-Altai,2016,2173.9
Goat,            Govi-Altai,2015,1831.3
Goat,            Govi-Altai,2014,1621.0
Goat,            Govi-Altai,2013,1409.1
Goat,            Govi-Altai,2012,1220.3
Goat,            Govi-Altai,2011,1057.8
Goat,            Govi-Altai,2010,837.8
Goat,            Govi-Altai,2009,1348.5
Goat,            Govi-Altai,2008,1594.0
Goat,            Govi-Altai,2007,1570.2
Goat,            Govi-Altai,2006,1370.1
Goat,            Govi-Altai,2005,1136.5
Goat,            Govi-Altai,2004,960.6
Goat,            Govi-Altai,2003,775.1
Goat,            Govi-Altai,2002,579.0
Goat,            Govi-Altai,2001,878.8
Goat,            Govi-Altai,2000,1003.8
Goat,            Govi-Altai,1999,1029.1
Goat,            Govi-Altai,1998,1029.0
Goat,            Govi-Altai,1997,992.5
Goat,            Govi-Altai,1996,935.5
Goat,            Govi-Altai,1995,904.6
Goat,            Govi-Altai,1994,785.6
Goat,            Govi-Altai,1993,633.2
Goat,            Govi-Altai,1992,580.1
Goat,            Govi-Altai,1991,527.7
Goat,            Govi-Altai,1990,501.9
Goat,            Govi-Altai,1989,495.6
Goat,            Govi-Altai,1988,454.1
Goat,            Govi-Altai,1987,449.5
Goat,            Govi-Altai,1986,427.4
Goat,            Govi-Altai,1985,420.1
Goat,            Govi-Altai,1984,374.8
Goat,            Govi-Altai,1983,426.5
Goat,            Govi-Altai,1982,433.1
Goat,            Govi-Altai,1981,433.0
Goat,            Govi-Altai,1980,442.9
Goat,            Govi-Altai,1979,450.2
Goat,            Govi-Altai,1978,462.6
Goat,            Govi-Altai,1977,454.3
Goat,            Govi-Altai,1976,446.8
Goat,            Govi-Altai,1975,443.5
